Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,Day_Perc_Change,Trend
2019-10-24,139.94,139.14,140.4,138.69,37.28M,37280000.0,10,2019,0.0,Slight or No change
2019-10-23,137.24,136.88,137.45,135.61,31.38M,31380000.0,10,2019,-0.019293983135629467,Slight or No change
2019-10-22,136.37,138.97,140.01,136.26,27.94M,27940000.0,10,2019,-0.0063392596910522014,Slight or No change
2019-10-21,138.43,138.45,138.5,137.01,20.72M,20720000.0,10,2019,0.015105961721786354,Slight or No change
2019-10-18,137.41,139.76,140.0,136.56,32.28M,32280000.0,10,2019,-0.007368345011919408,Slight or No change
2019-10-17,139.69,140.95,141.42,139.02,22.10M,22100000.0,10,2019,0.016592678844334463,Slight or No change
2019-10-16,140.41,140.79,140.99,139.53,20.84M,20840000.0,10,2019,0.005154270169661412,Slight or No change
2019-10-15,141.57,140.06,141.79,139.81,19.92M,19920000.0,10,2019,0.008261519834769526,Slight or No change
2019-10-14,139.55,139.69,140.29,139.52,13.59M,13590000.0,10,2019,-0.014268559723105034,Slight or No change
2019-10-11,139.68,140.12,141.03,139.5,25.55M,25550000.0,10,2019,0.0009315657470441163,Slight or No change
2019-10-10,139.1,138.49,139.67,138.25,18.40M,18400000.0,10,2019,-0.004152348224513269,Slight or No change
2019-10-09,138.24,137.46,138.7,136.97,20.18M,20180000.0,10,2019,-0.006182602444284591,Slight or No change
2019-10-08,135.67,137.08,137.76,135.62,26.78M,26780000.0,10,2019,-0.01859085648148162,Slight or No change
2019-10-07,137.12,137.14,138.18,137.02,16.60M,16600000.000000002,10,2019,0.010687698090956044,Slight or No change
2019-10-04,138.12,136.75,138.25,136.42,23.84M,23840000.0,10,2019,0.007292882147024393,Slight or No change
2019-10-03,136.28,134.95,136.75,133.22,26.38M,26380000.0,10,2019,-0.013321749203591082,Slight or No change
2019-10-02,134.65,136.25,136.37,133.58,32.00M,32000000.0,10,2019,-0.011960669210449026,Slight or No change
2019-10-01,137.07,139.66,140.25,137.0,22.58M,22580000.0,10,2019,0.017972521351652393,Slight or No change
2019-09-30,139.03,138.05,139.22,137.78,18.43M,18430000.0,9,2019,0.014299263150215236,Slight or No change
2019-09-27,137.73,140.15,140.36,136.65,22.50M,22500000.0,9,2019,-0.009350499892109676,Slight or No change
2019-09-26,139.54,139.44,140.18,138.44,17.81M,17810000.0,9,2019,0.013141653960647703,Slight or No change
